Marker,MarkerTimestamp,2024-05-20 10:29:20.879;
1.000;5.786.212.354
2.000;5.786.217.262
3.000;5.786.222.209
4.000;5.786.234.261
5.000;5.786.238.886
6.000;5.786.244.749
7.000;5.786.257.112
8.000;5.786.261.381
9.000;5.786.266.758
10.000;5.786.278.889
11.000;5.786.283.852
12.000;5.786.288.739
13.000;5.786.301.736
14.000;5.786.306.137
15.000;5.786.312.000
16.000;5.786.324.746
17.000;5.786.328.570
18.000;5.786.333.434
19.000;5.786.345.630
20.000;5.786.350.588
21.000;5.786.355.720
22.000;5.786.366.843
23.000;5.786.371.874
24.000;5.786.377.018
25.000;5.786.388.739
26.000;5.786.393.687
27.000;5.786.398.664
28.000;5.786.411.264
29.000;5.786.416.308
30.000;5.786.422.210
