Marker,MarkerTimestamp,2024-05-28 08:58:08.148;
1.000;6.471.953.107
2.000;6.471.956.458
3.000;6.471.960.612
4.000;6.471.971.910
5.000;6.471.975.176
6.000;6.471.979.609
7.000;6.471.989.955
8.000;6.471.993.711
9.000;6.471.998.031
10.000;6.472.008.831
11.000;6.472.011.852
12.000;6.472.016.076
13.000;6.472.026.862
14.000;6.472.029.824
15.000;6.472.034.166
16.000;6.472.043.560
17.000;6.472.047.339
18.000;6.472.050.992
19.000;6.472.061.062
20.000;6.472.064.897
21.000;6.472.069.211
22.000;6.472.080.189
23.000;6.472.082.906
24.000;6.472.087.518
25.000;6.472.098.555
26.000;6.472.102.598
27.000;6.472.106.950
28.000;6.472.118.230
29.000;6.472.121.086
30.000;6.472.125.550
