Marker,MarkerTimestamp,2024-04-10 13:49:13.705;
1.000;2.342.076.505
2.000;2.342.084.146
3.000;2.342.091.933
4.000;2.342.101.999
5.000;2.342.108.900
6.000;2.342.116.158
7.000;2.342.126.623
8.000;2.342.133.069
9.000;2.342.140.942
10.000;2.342.150.436
11.000;2.342.157.983
12.000;2.342.165.857
13.000;2.342.175.097
14.000;2.342.182.618
15.000;2.342.190.847
16.000;2.342.200.305
17.000;2.342.207.109
18.000;2.342.214.322
19.000;2.342.224.652
20.000;2.342.230.920
21.000;2.342.238.961
22.000;2.342.249.584
23.000;2.342.255.799
25.000;2.342.262.673
26.000;2.342.274.186
27.000;2.342.282.249
28.000;2.342.287.722
29.000;2.342.300.740
30.000;2.342.308.414
31.000;2.342.315.059
